Fish,Scan,Scanner,Scan date,Voxelsize [μm],Source voltage [kV],Source current [μA],Filter,Exposure time [ms],Frame averaging,360° scan,Rotation step [°],Projection size,Scan duration [s],Stacked scans,Total scan duration [s],Ring removal correction,Beam hardening correction,Gray value mapping
106641_Labrochromis_sp_1,rec_rereconstruct,SkyScan 2214,2021-09-06 15:02:51,8.468428,70.0,140.0,False,1101,,False,0.2,"(3072, 1944)",3918.0,1,3918.0,,,0.135231
106816_Neochromis_omnicaeruleus,head.rec,SkyScan 2214,2021-11-11 14:10:31,24.998536,70.0,140.0,False,976,,False,0.2,"(1536, 972)",2853.0,1,2853.0,,,0.096594
106816_Neochromis_omnicaeruleus,rec,SkyScan 2214,2021-06-21 10:25:47,7.991271,70.0,140.0,False,666,,False,0.2,"(2802, 1944)",3223.0,1,3223.0,,,0.117922
106985_Pseudocrenilabrus_multicolor_victoriae,2214_rec,SkyScan 2214,2022-01-14 11:41:40,4.399916,70.0,115.0,False,412,2.0,False,0.1,"(4032, 2688)",6379.0,1,6379.0,,,0.517143
106985_Pseudocrenilabrus_multicolor_victoriae,rec,SkyScan 1272,2020-11-16 23:53:27,5.001124,70.0,142.0,Al 0.5mm,2888,3.0,False,0.2,"(2452, 1640)",25084.0,1,25084.0,14.0,,0.247237
10715_Pundamilia_azurea,head.rec,SkyScan 2214,2022-01-31 12:58:42,18.500114,70.0,136.0,False,666,,False,0.2,"(1536, 972)",2171.0,1,2171.0,,,0.103717
10715_Pundamilia_azurea,rec,SkyScan 2214,2021-05-07 10:11:10,7.394447,70.0,125.0,False,720,,False,0.2,"(3070, 1944)",3064.0,1,3064.0,,,0.158883
10791_Mbipia_red_carp,head.rec,SkyScan 2214,2021-12-09 11:11:29,32.999624,70.0,140.0,False,563,,False,0.2,"(1536, 972)",1963.0,1,1963.0,,,0.074521
10791_Mbipia_red_carp,rec,SkyScan 2214,2021-03-30 10:20:59,13.120329,70.0,125.0,False,908,,False,0.2,"(3070, 1944)",3621.0,1,3621.0,,,0.076288
10794_Ptyochromis_xenognathus_rocks,head.rec,SkyScan 2214,2021-11-02 09:53:14,30.000352,70.0,140.0,False,648,,False,0.2,"(1536, 972)",2058.0,1,2058.0,,,0.10966
